ResponseId,MainBranch,EdLevel,Employment,YearsCode,DevType,RemoteWork,Country,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,ConvertedCompYearly
11,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9.0,"Developer, back-end",Remote,Ukraine,HTML/CSS;Java;JavaScript;SQL;TypeScript,H2;Microsoft SQL Server;PostgreSQL;Redis,Kubernetes;Maven (build tool);npm,65691.0
12,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,"Developer, back-end",Remote,Ukraine,C#,Microsoft SQL Server;SQLite,,14400.0
17,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Some college/university study without earning a degree,Retired,40.0,Financial analyst or engineer,,Australia,,,,16252.0
23,I am a developer by profession,Some college/university study without earning a degree,Employed,11.0,"Developer, full-stack",Remote,United States of America,C#;C++;JavaScript;Python;Visual Basic (.Net),Microsoft SQL Server,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,87500.0
26,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",41.0,"Developer, full-stack",,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);JavaScript;Perl;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;npm,108913.0
27,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",30.0,"Developer, full-stack",,Ireland,C#;JavaScript;PowerShell;TypeScript,Cosmos DB;Microsoft SQL Server;PostgreSQL;Redis,Cloudflare;Microsoft Azure;New Relic;npm;NuGet,162421.0
28,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,36.0,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",Sweden,C#;Java;Python;SQL,Microsoft SQL Server;Oracle;PostgreSQL,,209643.0
29,I am a developer by profession,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Independent contractor, freelancer, or self-employed",13.0,"Developer, full-stack",Remote,Dominican Republic,HTML/CSS;JavaScript;Python;TypeScript,MariaDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Datadog;Docker;Vercel;Vite,78000.0
30,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,"Developer, mobile",Remote,United States of America,Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,MySQL;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Docker;Firebase;Google Cloud;Gradle;Homebrew;Maven (build tool);Supabase,205000.0
32,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,23.0,"Developer, full-stack",Remote,United States of America,Elixir;HTML/CSS;JavaScript;SQL;TypeScript,BigQuery;Elasticsearch;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Datadog;Digital Ocean;Docker;Google Cloud;Homebrew;Kubernetes;Make;npm;Pip;Yarn,250000.0
34,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,26.0,Data engineer,"Hybrid (some remote, leans heavy to in-person)",United States of America,C#;Python;SQL,Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure;Terraform,175000.0
36,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,"Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Datadog;Digital Ocean;Docker;Heroku;Homebrew;Kubernetes;npm;Terraform;Yarn,95132.0
38,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25.0,"Developer, full-stack",In-person,United States of America,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Fortran;Java;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),MySQL;Oracle;PostgreSQL;SQLite,,109000.0
39,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25.0,"Developer, full-stack",Remote,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure;npm;NuGet,91215.0
40,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",United States of America,HTML/CSS;JavaScript;Ruby;SQL,PostgreSQL;Redis,Amazon Web Services (AWS);Heroku;Microsoft Azure;Webpack;Yarn,150000.0
41,I am a developer by profession,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,38.0,"Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",United States of America,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,IBM DB2;MariaDB;Microsoft SQL Server;MySQL;Oracle;SQLite,Amazon Web Services (AWS);Kubernetes;Microsoft Azure;Pip;Yarn,99999.0
42,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,"Developer, front-end",Remote,United States of America,HTML/CSS;JavaScript;Python;TypeScript,PostgreSQL,Amazon Web Services (AWS);Datadog;Docker;Homebrew;Make;npm;Vercel;Vite,270000.0
43,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,35.0,"Developer, mobile",Remote,United States of America,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Swift;TypeScript;Visual Basic (.Net),Microsoft SQL Server;MySQL;Oracle;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Gradle;Homebrew;Maven (build tool);Microsoft Azure;npm;NuGet;Podman;Prometheus;Splunk,250000.0
44,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,"Developer, game or graphics",Remote,Czech Republic,C#;C++;Python,,,43810.0
46,I am a developer by profession,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,23.0,AI/ML engineer,"Hybrid (some in-person, leans heavy to flexibility)",Hungary,Java;MATLAB;OCaml;Python;Scala,PostgreSQL;SQLite,Docker;Maven (build tool),80966.0
48,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,"Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",Malaysia,Go;Java;JavaScript;Python;TypeScript,Dynamodb;PostgreSQL,Amazon Web Services (AWS);Ansible;Bun;Cloudflare;Docker;npm;Pip;Poetry;Vite;Yarn,28275.0
49,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,21.0,"Senior executive (C-suite, VP, etc.)",Remote,United Kingdom of Great Britain and Northern Ireland,C#;Elixir;HTML/CSS;JavaScript;SQL;TypeScript,Cosmos DB;Elasticsearch;Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Kubernetes;Microsoft Azure;NuGet;Terraform;Vite;Webpack,142949.0
50,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,Academic researcher,"Hybrid (some in-person, leans heavy to flexibility)",Switzerland,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,DuckDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Cargo;Docker;Gradle;Homebrew;Kubernetes;npm;Pip;pnpm;Vite,117793.0
51,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,19.0,"Developer, game or graphics","Hybrid (some remote, leans heavy to in-person)",Germany,C#;JavaScript,Cloud Firestore;Firebase Realtime Database,Google Cloud,75410.0
52,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,18.0,"Developer, game or graphics","Hybrid (some in-person, leans heavy to flexibility)",Netherlands,C#;C++;Lua;PowerShell;Python;R,,,81210.0
53,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,"Architect, software or solutions","Hybrid (some remote, leans heavy to in-person)",Egypt,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;Zig,Cosmos DB;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite;Supabase,Bun;Docker;Homebrew;Make;Microsoft Azure;npm;NuGet;Pip;pnpm;Supabase;Vite,63909.0
54,I am a developer by profession,Some college/university study without earning a degree,Employed,8.0,"Developer, full-stack",Remote,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,PostgreSQL;Redis,Cloudflare;Heroku;Homebrew;Yarn,151000.0
55,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13.0,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",Netherlands,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Composer;Docker;Kubernetes;Make;npm;Vite;Webpack,83531.0
56,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,"Developer, desktop or enterprise applications","Hybrid (some remote, leans heavy to in-person)",Austria,Assembly;C++;Groovy;Java;JavaScript;Kotlin;Rust;TypeScript,,Amazon Web Services (AWS);Docker;npm;pnpm,46406.0
57,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Retired,30.0,Academic researcher,"Hybrid (some in-person, leans heavy to flexibility)",United States of America,Assembly;Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MicroPython;PHP;PowerShell;Python;SQL,MariaDB;MongoDB;MySQL;PostgreSQL,,6000.0
59,I am a developer by profession,Some college/university study without earning a degree,Employed,12.0,Other (please specify):,"Your choice (very flexible, you can come in when you want or just as needed)",Poland,Assembly;Bash/Shell (all shells);C;C++;Go;Python;Swift,,Digital Ocean;Docker;Homebrew,62767.0
60,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,"Developer, full-stack",Remote,United Kingdom of Great Britain and Northern Ireland,C#;F#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft Azure,151117.0
61,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,"Developer, back-end",Remote,Spain,Bash/Shell (all shells);Java;SQL,BigQuery;Elasticsearch;MySQL;Oracle;PostgreSQL;Redis,Datadog;Docker;Google Cloud;Maven (build tool),67289.0
62,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",30.0,"Founder, technology or otherwise",,Czech Republic,C;Elixir;Go;HTML/CSS;Python;Rust;SQL;Zig,BigQuery;DuckDB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cargo;Digital Ocean;Docker;Google Cloud;Kubernetes;Terraform,197225.0
64,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,41.0,"Developer, full-stack",Remote,United States of America,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Dynamodb;MySQL;Snowflake,Amazon Web Services (AWS);Google Cloud;Webpack;Yarn,245000.0
65,I am a developer by profession,Some college/university study without earning a degree,Student,5.0,"Developer, embedded applications or devices","Your choice (very flexible, you can come in when you want or just as needed)",Serbia,Bash/Shell (all shells);C;C++;GDScript;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,MySQL,,14850.0
68,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,"Developer, back-end","Hybrid (some remote, leans heavy to in-person)",Sweden,Groovy;Java,Elasticsearch;MariaDB;MongoDB;MySQL;Redis;Supabase,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Pip;Podman;Prometheus;Splunk;Terraform;Yarn,75472.0
69,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",20.0,Data engineer,"Hybrid (some remote, leans heavy to in-person)",France,JavaScript;Python;R;SQL;TypeScript;VBA,MariaDB;Microsoft SQL Server;MySQL,Docker;Kubernetes;Microsoft Azure;Podman;Terraform,174022.0
70,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,25.0,Cybersecurity or InfoSec professional,"Your choice (very flexible, you can come in when you want or just as needed)",Switzerland,C;Python;Rust;SQL,PostgreSQL,,210788.0
73,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,16.0,"Developer, back-end","Hybrid (some remote, leans heavy to in-person)",United States of America,C++;Java;Python,,,150000.0
74,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,45.0,Engineering manager,"Hybrid (some in-person, leans heavy to flexibility)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);HTML/CSS;Python;SQL,Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Datadog;Pip;Terraform,115720.0
75,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",8.0,"Developer, full-stack",,Romania,HTML/CSS;JavaScript;PowerShell;SQL,PostgreSQL,npm,20677.0
76,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17.0,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",Canada,C++;PowerShell,,APT;Docker;MSBuild;Ninja,72958.0
78,"I used to be a developer by profession, but no longer am","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",26.0,"Founder, technology or otherwise",,United States of America,F#;HTML/CSS,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Docker;Google Cloud;MSBuild;NuGet,5000.0
80,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,"Developer, mobile",Remote,United Arab Emirates,Dart,SQLite,,13615.0
82,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,"Developer, desktop or enterprise applications","Your choice (very flexible, you can come in when you want or just as needed)",United States of America,Bash/Shell (all shells);PowerShell,,,116000.0
83,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,"Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",Belgium,C#;Dart;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;SQLite,Docker;Make;Microsoft Azure;MSBuild;New Relic;npm;NuGet;Pip;pnpm;Poetry;Vite,87011.0
84,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,22.0,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,MSBuild;NuGet,90000.0
85,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,"Architect, software or solutions","Hybrid (some in-person, leans heavy to flexibility)",Brazil,Assembly;Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);APT;Chocolatey;Cloudflare;Docker;Google Cloud;Microsoft Azure;MSBuild;NuGet;Pip;Terraform,36407.0
86,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20.0,"Developer, AI apps or physical AI",Remote,Italy,C;C++;Python;Rust,,Amazon Web Services (AWS);Poetry,139218.0
88,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,"Developer, embedded applications or devices",In-person,Spain,Assembly;Bash/Shell (all shells);C;C++;Python,,Docker;Make;Ninja,25523.0
89,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,"Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",Argentina,Ada;Bash/Shell (all shells);Python,MySQL;PostgreSQL;Redis,,13649.0
93,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,"Developer, embedded applications or devices","Hybrid (some remote, leans heavy to in-person)",United Kingdom of Great Britain and Northern Ireland,Ada;Bash/Shell (all shells);C;C++,,,81685.0
94,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",30.0,"Developer, back-end",,Russian Federation,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,BigQuery;Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Ansible;Docker;Google Cloud;Homebrew;Kubernetes;Pip,58007.0
96,I am a developer by profession,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,42.0,"Developer, AI apps or physical AI",Remote,Belgium,C;C++;Lua;Python;SQL,Oracle;SQLite,Amazon Web Services (AWS);Docker;Kubernetes,167061.0
97,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Some college/university study without earning a degree,Employed,40.0,DevOps engineer or professional,Remote,United States of America,Bash/Shell (all shells);Go;HTML/CSS;Perl;PHP;PowerShell;Python;SQL,BigQuery;Cassandra;Databricks SQL;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Datadog;Docker;Google Cloud;Homebrew;Kubernetes;Microsoft Azure;Terraform,195000.0
98,I am a developer by profession,Some college/university study without earning a degree,Employed,11.0,"Developer, full-stack",In-person,Bangladesh,C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,Dynamodb;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Microsoft Azure;npm;NuGet;Pip;Vite,8509.0
100,I am a developer by profession,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,41.0,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",Germany,Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,Ansible;Composer;Docker;Homebrew;Make;Microsoft Azure;npm;Pip,145018.0
101,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,27.0,"Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",United States of America,C#;SQL,Microsoft SQL Server,Microsoft Azure,155000.0
102,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,"Developer, full-stack",Remote,Canada,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,MySQL,Amazon Web Services (AWS);Docker;Microsoft Azure;npm;Pip;Webpack,80254.0
103,I am a developer by profession,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,22.0,"Developer, back-end",Remote,Italy,Bash/Shell (all shells);JavaScript;Lua;Python;SQL;TypeScript,,Amazon Web Services (AWS);Docker;Homebrew;Kubernetes;npm;Prometheus,83531.0
104,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,"Developer, full-stack",Remote,Canada,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Dynamodb;Elasticsearch;H2;PostgreSQL;Redis,Amazon Web Services (AWS);Docker;Maven (build tool);npm;Terraform;Yarn,109438.0
106,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,24.0,"Developer, back-end","Hybrid (some remote, leans heavy to in-person)",Norway,C#;PowerShell;SQL,Microsoft SQL Server;PostgreSQL,Docker;Microsoft Azure;MSBuild;NuGet,87561.0
107,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",30.0,"Developer, front-end",Remote,United States of America,HTML/CSS;JavaScript;Python;SQL,,,75000.0
109,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",30.0,"Developer, full-stack",,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;SQLite,Microsoft Azure;npm;NuGet,88492.0
110,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,"Developer, desktop or enterprise applications","Hybrid (some in-person, leans heavy to flexibility)",United States of America,Bash/Shell (all shells);C#;C++;F#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;SQLite,Microsoft Azure;MSBuild;npm;NuGet;Vite,131000.0
111,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,16.0,"Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",United States of America,C#;JavaScript;Kotlin;PowerShell;SQL;TypeScript;Visual Basic (.Net),Cosmos DB;Microsoft SQL Server;MySQL;Redis,Chocolatey;Docker;Kubernetes;Microsoft Azure;MSBuild;npm;NuGet;Vite,120000.0
114,I work with developers or my work supports developers but am not a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,"Senior executive (C-suite, VP, etc.)",Remote,Netherlands,,,,15546.0
118,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,Other (please specify):,"Hybrid (some remote, leans heavy to in-person)",Germany,Bash/Shell (all shells);C;C++;Fortran;Python,,Ansible;APT;Docker;Make;Ninja;Pacman;Pip;Podman,81210.0
119,I code primarily as a hobby,Some college/university study without earning a degree,Student,9.0,"Developer, full-stack",Remote,Belgium,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,PostgreSQL;Redis;SQLite,Ansible;Cargo;Docker;Make;npm;Pip;Poetry;Vite,48726.0
120,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,Data engineer,"Hybrid (some in-person, leans heavy to flexibility)",Spain,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MySQL;Oracle;PostgreSQL;Clickhouse,Amazon Web Services (AWS);Ansible;Docker,41765.0
121,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,Other (please specify):,"Hybrid (some remote, leans heavy to in-person)",Canada,Bash/Shell (all shells);C++;COBOL;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Visual Basic (.Net),MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,,71499.0
122,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",45.0,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),Microsoft SQL Server;SQLite,,45000.0
123,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,27.0,"Developer, full-stack",Remote,Canada,Bash/Shell (all shells);C#;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Swift;TypeScript,Cassandra;Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Chocolatey;Composer;Docker;Firebase;Gradle;Homebrew;Kubernetes;MSBuild;NuGet;Pip;Yarn,65663.0
124,I am a developer by profession,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,16.0,"Developer, full-stack",Remote,Canada,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Dynamodb;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Ansible;Composer;Docker;Homebrew;Make;npm;Pip;Vite;Yarn,113085.0
